id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,selling_price,selling_date,most_recent_activity,lively_cluster,sqft_footprint,lot_to_footprint_ratio,density_cluster,central_dense,price_per_sqft,zip_median_price_per_sqft,deal_vs_zip,dense_neighbors,area_recency,km_to_downtown,score_deal_vs_zip,score_dense_neighbors,score_grade,rating
3126049436,3,2.5,1710,1296,3.0,False,0.0,3,8,1510,200,2004,,98103,47.6963,-122.342,1610,1282,416000.0,2014-09-12,2004.0,high-high,503.3333333333333,2.5748344370860927,low-low,True,243.2748538011696,360.4703998615198,0.3932179550400032,39,1991.9333333333334,9.629492300080011,9.8,8.4,4.0,8.2
9828701608,3,2.5,1740,2350,2.0,False,0.0,3,8,1120,620,1996,,98112,47.6206,-122.297,1750,3802,525000.0,2014-09-15,1996.0,high-high,560.0,4.196428571428571,low-low,True,301.7241379310345,424.24242424242425,0.3407918977657293,43,1977.888888888889,3.598335498684698,9.6,8.8,4.0,8.2
9267200062,3,2.5,1260,1211,3.0,False,0.0,3,8,1260,0,2004,,98103,47.6969,-122.343,1270,1211,336000.0,2014-09-11,2004.0,high-high,420.0,2.8833333333333333,low-low,True,266.6666666666667,360.4703998615198,0.3014104057868804,43,1994.0625,9.696382759329593,9.4,8.8,4.0,8.1
9267200226,3,2.5,1770,1235,3.0,False,0.0,3,8,1600,170,2007,,98103,47.6965,-122.342,1680,1203,436110.0,2014-05-02,2007.0,high-high,533.3333333333334,2.315625,low-low,True,246.38983050847457,360.4703998615198,0.3804948862660926,38,1992.860465116279,9.651731258514452,9.7,8.2,4.0,8.1
4310702876,2,2.5,1780,1311,3.0,False,0.0,3,8,1350,430,2005,,98103,47.6962,-122.34,1390,1227,398500.0,2014-11-03,2005.0,high-high,450.0,2.9133333333333336,low-low,True,223.87640449438203,360.4703998615198,0.4763157108604221,36,1992.8837209302326,9.619772656717,10.0,7.9,4.0,8.1
3630110370,3,2.5,2140,3821,2.0,False,0.0,3,8,2140,0,2005,,98029,47.5541,-121.995,2860,3841,420000.0,2014-06-24,2005.0,high-high,1070.0,3.5710280373831775,low-low,True,196.26168224299064,271.42857142857144,0.32425013385556484,41,2008.4651162790697,26.76550206890641,9.6,8.6,4.0,8.1
993000315,3,3.25,1380,1234,3.0,False,0.0,3,8,1380,0,2006,,98103,47.6935,-122.342,1370,1282,379000.0,2014-10-02,2006.0,high-high,460.0,2.6826086956521737,low-low,True,274.6376811594203,360.4703998615198,0.271957138873385,45,1986.8620689655172,9.318146895469823,9.0,9.0,4.0,8.0
9828702389,3,2.5,1580,1161,2.0,False,0.0,3,8,1010,570,2008,,98112,47.6206,-122.299,1680,1177,525000.0,2014-05-13,2008.0,high-high,505.0,2.299009900990099,low-low,True,332.27848101265823,424.24242424242425,0.24433163157816712,48,1979.5862068965516,3.4575498227935046,8.7,9.4,4.0,8.0
8929000270,3,2.5,2010,2287,2.0,False,0.0,3,8,1390,620,2014,,98029,47.5517,-121.998,1690,1662,453246.0,2014-05-12,2014.0,high-high,695.0,3.2906474820143883,low-low,True,225.4955223880597,271.42857142857144,0.18539871372586675,50,2008.0,26.61061388893792,8.0,9.9,4.0,7.9
4310702858,3,2.5,1570,1551,3.0,False,0.0,3,8,1570,0,2008,,98103,47.6961,-122.341,1570,1705,414950.0,2014-10-15,2008.0,high-high,523.3333333333334,2.9636942675159235,low-low,True,264.29936305732485,360.4703998615198,0.31032743310245775,37,1995.0232558139535,9.607662121596888,9.5,8.1,4.0,7.9
9828702265,3,2.5,1480,1171,3.0,False,0.0,3,8,1480,0,2006,,98112,47.62,-122.3,1480,1231,500000.0,2014-05-06,2006.0,high-high,493.3333333333333,2.3736486486486488,low-low,True,337.8378378378378,424.24242424242425,0.22773903648474747,48,1985.0363636363636,3.364173531281264,8.5,9.4,4.0,7.9
993000307,3,2.0,1270,1323,3.0,False,0.0,3,8,1270,0,2006,,98103,47.6934,-122.342,1330,1323,360000.0,2014-05-23,2006.0,high-high,423.3333333333333,3.125196850393701,low-low,True,283.46456692913387,360.4703998615198,0.2403227138070423,44,1986.5263157894738,9.307027417216226,8.7,8.9,4.0,7.8
8929000290,3,2.5,1690,1618,2.0,False,0.0,3,8,1150,540,2014,,98029,47.5518,-121.998,1690,1618,372977.0,2014-05-14,2014.0,high-high,575.0,2.813913043478261,low-low,True,220.69644970414203,271.42857142857144,0.20691078948996797,48,2008.1538461538462,26.60789726639815,8.2,9.4,4.0,7.8
3126049517,3,2.5,1540,1614,3.0,False,0.0,3,8,1470,70,2008,,98103,47.6961,-122.341,1540,1418,413450.0,2014-05-08,2008.0,high-high,490.0,3.293877551020408,low-low,True,268.47402597402595,360.4703998615198,0.2946556730440602,37,1995.0232558139535,9.607662121596888,9.3,8.1,4.0,7.8
